epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,24.2984,1.7996,0.20408,1,1.80908,5.555e-05,5.555e-05,5.555e-05
2,26.5949,1.64243,0.55102,1,1.25488,0.000121,0.000121,0.000121
3,27.8578,1.27506,0.93878,1,0.82764,0.00018513,0.00018513,0.00018513
4,33.2829,1.11073,0.93878,1,0.56006,0.000247941,0.000247941,0.000247941
5,36.5155,0.74771,0.95918,1,0.38489,0.000309431,0.000309431,0.000309431
6,40.0536,0.71545,0.95918,1,0.2074,0.000369602,0.000369602,0.000369602
7,45.553,0.47065,0.97959,1,0.12793,0.000428453,0.000428453,0.000428453
8,51.0612,0.37158,0.97959,1,0.10225,0.000485984,0.000485984,0.000485984
9,52.2557,0.3541,0.97959,1,0.05882,0.000542195,0.000542195,0.000542195
10,57.3113,0.18743,0.97959,1,0.04888,0.000597086,0.000597086,0.000597086
11,62.6626,0.1339,1,1,0.03247,0.000650657,0.000650657,0.000650657
12,67.8681,0.1294,1,1,0.01041,0.000702909,0.000702909,0.000702909
13,69.2904,0.04623,1,1,0.0067,0.00075384,0.00075384,0.00075384
14,74.1344,0.12011,1,1,0.00849,0.000803452,0.000803452,0.000803452
15,79.0442,0.25073,1,1,0.00849,0.000851744,0.000851744,0.000851744
16,84.2318,0.17318,1,1,0.02519,0.000898716,0.000898716,0.000898716
17,85.6742,0.37028,0.97959,1,0.02905,0.000935018,0.000935018,0.000935018
18,90.4095,0.16963,0.97959,1,0.04984,0.000924019,0.000924019,0.000924019
19,95.2315,0.0982,0.97959,1,0.11363,0.00091302,0.00091302,0.00091302
20,100.351,0.22991,0.95918,1,0.14825,0.000902021,0.000902021,0.000902021
21,101.894,0.17585,0.95918,1,0.05338,0.000891022,0.000891022,0.000891022
22,106.676,0.08469,1,1,0.01619,0.000880023,0.000880023,0.000880023
23,111.507,0.46802,1,1,0.01052,0.000869024,0.000869024,0.000869024
24,116.923,0.45017,1,1,0.01515,0.000858025,0.000858025,0.000858025
25,118.731,0.17336,1,1,0.01514,0.000847026,0.000847026,0.000847026
26,123.511,0.04202,1,1,0.01521,0.000836027,0.000836027,0.000836027
27,128.126,0.05865,1,1,0.01591,0.000825029,0.000825029,0.000825029
28,133.137,0.08859,1,1,0.01611,0.00081403,0.00081403,0.00081403
29,135,0.05957,1,1,0.01811,0.000803031,0.000803031,0.000803031
30,139.932,0.23004,1,1,0.00859,0.000792032,0.000792032,0.000792032
31,144.83,0.09497,1,1,0.00746,0.000781033,0.000781033,0.000781033
32,149.98,0.26137,1,1,0.0185,0.000770034,0.000770034,0.000770034
33,151.58,0.11046,1,1,0.02238,0.000759035,0.000759035,0.000759035
34,155.908,0.09297,0.97959,1,0.02754,0.000748036,0.000748036,0.000748036
35,161.001,0.07705,0.97959,1,0.03983,0.000737037,0.000737037,0.000737037
36,166.44,0.17853,0.97959,1,0.05404,0.000726038,0.000726038,0.000726038
37,167.624,0.26989,0.97959,1,0.03465,0.00071504,0.00071504,0.00071504
38,172.616,0.11572,0.97959,1,0.03748,0.000704041,0.000704041,0.000704041
39,177.715,0.06825,0.97959,1,0.04157,0.000693042,0.000693042,0.000693042
40,182.898,0.09975,0.97959,1,0.06855,0.000682043,0.000682043,0.000682043
41,184.169,0.12752,0.97959,1,0.07248,0.000671044,0.000671044,0.000671044
42,188.801,0.15585,0.97959,1,0.08157,0.000660045,0.000660045,0.000660045
43,193.982,0.06041,0.97959,1,0.06657,0.000649046,0.000649046,0.000649046
44,199.032,0.08295,0.97959,1,0.04329,0.000638047,0.000638047,0.000638047
45,200.198,0.09924,0.97959,1,0.03404,0.000627048,0.000627048,0.000627048
46,205.196,0.27454,0.97959,1,0.04946,0.000616049,0.000616049,0.000616049
47,210.432,0.17392,0.97959,1,0.04264,0.000605051,0.000605051,0.000605051
48,215.411,0.1337,1,1,0.00878,0.000594052,0.000594052,0.000594052
49,216.447,0.41033,1,1,0.01265,0.000583053,0.000583053,0.000583053
50,221.458,0.1162,0.97959,1,0.01544,0.000572054,0.000572054,0.000572054
51,226.823,0.1935,0.97959,1,0.02313,0.000561055,0.000561055,0.000561055
52,231.892,0.13485,0.97959,1,0.12467,0.000550056,0.000550056,0.000550056
53,233.171,0.13692,0.97959,1,0.0829,0.000539057,0.000539057,0.000539057
54,237.863,0.03327,0.97959,1,0.13993,0.000528058,0.000528058,0.000528058
55,242.862,0.08484,0.97959,1,0.15915,0.000517059,0.000517059,0.000517059
56,248.154,0.04355,0.97959,1,0.15548,0.00050606,0.00050606,0.00050606
57,249.159,0.11738,0.97959,1,0.16009,0.000495062,0.000495062,0.000495062
58,254.071,0.24898,0.97959,1,0.30449,0.000484063,0.000484063,0.000484063
59,259.291,0.03615,0.97959,1,0.27029,0.000473064,0.000473064,0.000473064
60,264.123,0.08575,0.97959,1,0.10176,0.000462065,0.000462065,0.000462065
61,265.212,0.06354,0.97959,1,0.1408,0.000451066,0.000451066,0.000451066
62,270.443,0.2063,0.97959,1,0.13162,0.000440067,0.000440067,0.000440067
63,275.434,0.08273,0.97959,1,0.10331,0.000429068,0.000429068,0.000429068
64,280.017,0.26294,0.97959,1,0.04053,0.000418069,0.000418069,0.000418069
65,281.194,0.08579,0.97959,1,0.03709,0.00040707,0.00040707,0.00040707
66,286.317,0.03056,0.97959,1,0.0163,0.000396071,0.000396071,0.000396071
67,291.328,0.02509,1,1,0.01332,0.000385073,0.000385073,0.000385073
68,296.321,0.00908,1,1,0.00823,0.000374074,0.000374074,0.000374074
69,297.317,0.07537,1,1,0.01347,0.000363075,0.000363075,0.000363075
70,302.275,0.03077,1,1,0.01938,0.000352076,0.000352076,0.000352076
71,307.385,0.03595,1,1,0.0118,0.000341077,0.000341077,0.000341077
72,312.23,0.06152,1,1,0.00792,0.000330078,0.000330078,0.000330078
73,313.513,0.01934,1,1,0.01277,0.000319079,0.000319079,0.000319079
74,318.613,0.00655,0.97959,1,0.01269,0.00030808,0.00030808,0.00030808
75,323.774,0.08076,1,1,0.00684,0.000297081,0.000297081,0.000297081
76,328.422,0.18,0.97959,1,0.01263,0.000286083,0.000286083,0.000286083
77,329.465,0.07805,1,1,0.02024,0.000275084,0.000275084,0.000275084
78,334.985,0.02365,1,1,0.00597,0.000264085,0.000264085,0.000264085
79,340.133,0.05943,1,1,0.01226,0.000253086,0.000253086,0.000253086
80,344.698,0.02263,0.97959,1,0.01532,0.000242087,0.000242087,0.000242087
81,345.721,0.07172,0.97959,1,0.02022,0.000231088,0.000231088,0.000231088
82,351.309,0.18166,0.97959,1,0.03792,0.000220089,0.000220089,0.000220089
83,356.29,0.01423,0.97959,1,0.05639,0.00020909,0.00020909,0.00020909
84,360.901,0.05628,0.97959,1,0.02998,0.000198091,0.000198091,0.000198091
85,361.907,0.0184,0.97959,1,0.02576,0.000187092,0.000187092,0.000187092
86,367.239,0.06863,0.97959,1,0.03111,0.000176094,0.000176094,0.000176094
87,372.19,0.36555,0.97959,1,0.01835,0.000165095,0.000165095,0.000165095
88,376.836,0.01549,0.97959,1,0.02349,0.000154096,0.000154096,0.000154096
89,377.993,0.02796,1,1,0.02103,0.000143097,0.000143097,0.000143097
90,383.568,0.01713,0.97959,1,0.03753,0.000132098,0.000132098,0.000132098
91,435.062,0.01577,0.97959,1,0.03281,0.000121099,0.000121099,0.000121099
92,440.58,0.01401,0.97959,1,0.01521,0.0001101,0.0001101,0.0001101
93,445.45,0.02089,0.97959,1,0.01493,9.91012e-05,9.91012e-05,9.91012e-05
94,446.403,0.04032,0.97959,1,0.02281,8.81023e-05,8.81023e-05,8.81023e-05
95,450.534,0.02126,0.97959,1,0.02516,7.71034e-05,7.71034e-05,7.71034e-05
96,455.886,0.02096,0.97959,1,0.02338,6.61045e-05,6.61045e-05,6.61045e-05
97,461.204,0.04723,0.97959,1,0.01812,5.51056e-05,5.51056e-05,5.51056e-05
98,462.216,0.06693,0.97959,1,0.02327,4.41067e-05,4.41067e-05,4.41067e-05
99,467.189,0.01022,0.97959,1,0.01645,3.31078e-05,3.31078e-05,3.31078e-05
100,472.554,0.00456,0.97959,1,0.01871,2.21089e-05,2.21089e-05,2.21089e-05
